is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.517, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.619, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 10, shaped_reward: -0.023
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.897, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.427, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 9, shaped_reward: 0.006
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 1.324, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 4, shaped_reward: 0.041
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.996, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 5, shaped_reward: 0.031
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.768, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -5.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 36, shaped_reward: -0.051
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.768, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 16, shaped_reward: 0.024
is_powered_up: False, base_reward: 10.000, scaled_base: 1.000, bonus_powerpill: 0.523, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -3.121, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 0, shaped_reward: 0.970
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.705, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -1.530, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 2, shaped_reward: -0.001
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.577, bonus_eating_ghost: 0.000, penalty_nearing_ghost: -2.222, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 22, shaped_reward: -0.015
is_powered_up: False, base_reward: 0.000, scaled_base: 0.000, bonus_powerpill: 0.740, bonus_eating_ghost: 0.000, penalty_nearing_ghost: 0.000, stalling_penalty: 0.000, movement_bonus: 0.010, steps_without_score: 12, shaped_reward: 0.023
